2024-05-05 13:15:41.944 INFO  --- 80586 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 417 ms 
2024-05-05 13:15:45.118 INFO  --- 80586 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:21:12.328 INFO  --- 99213 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:21:12.336 INFO  --- 99213 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:21:12.490 INFO  --- 99213 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:21:12.514 INFO  --- 99213 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 417 ms 
2024-05-05 13:21:14.806 INFO  --- 99213 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:27:52.232 INFO  --- 22060 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:27:52.240 INFO  --- 22060 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:27:52.393 INFO  --- 22060 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:27:52.417 INFO  --- 22060 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 414 ms 
2024-05-05 13:27:54.824 INFO  --- 22060 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:45:40.657 INFO  --- 82562 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:45:40.666 INFO  --- 82562 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 7 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:45:40.837 INFO  --- 82562 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:45:40.864 INFO  --- 82562 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 456 ms 
2024-05-05 13:45:43.400 INFO  --- 82562 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:46:44.943 INFO  --- 86053 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:46:44.952 INFO  --- 86053 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:46:45.127 INFO  --- 86053 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:46:45.153 INFO  --- 86053 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 458 ms 
2024-05-05 13:46:47.446 INFO  --- 86053 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:53:20.066 INFO  --- 8722 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:53:20.075 INFO  --- 8722 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 7 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:53:20.232 INFO  --- 8722 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:53:20.255 INFO  --- 8722 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 422 ms 
2024-05-05 13:53:22.691 INFO  --- 8722 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:54:03.592 INFO  --- 11053 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:54:03.600 INFO  --- 11053 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:54:03.752 INFO  --- 11053 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:54:03.775 INFO  --- 11053 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 406 ms 
2024-05-05 13:54:06.281 INFO  --- 11053 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:54:45.408 INFO  --- 13389 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:54:45.416 INFO  --- 13389 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
2024-05-05 13:54:45.568 INFO  --- 13389 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:109 --- Tomcat initialized with port 8080 (http) 
2024-05-05 13:54:45.591 INFO  --- 13389 [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:296 --- Root WebApplicationContext: initialization completed in 407 ms 
2024-05-05 13:54:47.754 INFO  --- 13389 [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:241 --- Tomcat started on port 8080 (http) with context path '' 
2024-05-05 13:55:02.765 INFO  --- 14555 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:139 --- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2024-05-05 13:55:02.772 INFO  --- 14555 [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208 --- Finished Spring Data repository scanning in 6 ms. Found 0 MongoDB repository interfaces. 
